LHA_1,LHA_2,DIST
Armstrong/Spallumcheen,Vancouver - Northeast,305019.199
Armstrong/Spallumcheen,Burnaby,300679.578
Armstrong/Spallumcheen,New Westminster,299106.416
Armstrong/Spallumcheen,Surrey,295279.249
Armstrong/Spallumcheen,Tri-Cities,288652.838
Armstrong/Spallumcheen,Maple Ridge/Pitt Meadows,278484.79
Armstrong/Spallumcheen,South Surrey/White Rock,301229.89
Armstrong/Spallumcheen,Langley,285932.205
Armstrong/Spallumcheen,Abbotsford,270605.961
Armstrong/Spallumcheen,Chilliwack,243590.664
Armstrong/Spallumcheen,Mission,263279.03
Armstrong/Spallumcheen,Agassiz/Harrison,225894.53
Armstrong/Spallumcheen,Hope,196403.404
Armstrong/Spallumcheen,Merritt,117136.69
Armstrong/Spallumcheen,South Cariboo,154792.202
Armstrong/Spallumcheen,Lillooet,208046.473
Armstrong/Spallumcheen,Cariboo/Chilcotin,280894.996
Armstrong/Spallumcheen,Central Okanagan,63525.8174
Armstrong/Spallumcheen,Vernon,19302.4112
Armstrong/Spallumcheen,Enderby,20857.0296
Armstrong/Spallumcheen,Salmon Arm,35532.2983
Armstrong/Spallumcheen,Kamloops,81974.0794
Armstrong/Spallumcheen,North Thompson,155808.351
Armstrong/Spallumcheen,100 Mile House,197303.039
Armstrong/Spallumcheen,Southern Okanagan,142494.254
Armstrong/Spallumcheen,Grand Forks,163643.459
Armstrong/Spallumcheen,Keremeos,140230.982
Armstrong/Spallumcheen,Princeton,137551.573
Armstrong/Spallumcheen,Trail,184145.211
Armstrong/Spallumcheen,Kettle Valley,124409.445
Armstrong/Spallumcheen,Summerland,98306.57
Armstrong/Spallumcheen,Penticton,108618.925
Armstrong/Spallumcheen,Castlegar,166515.789
Armstrong/Spallumcheen,Creston,242605.352
Armstrong/Spallumcheen,Revelstoke,95645.0597
Armstrong/Spallumcheen,Golden,186191.676
Armstrong/Spallumcheen,Windermere,225187.879
Armstrong/Spallumcheen,Arrow Lakes,109685.194
Armstrong/Spallumcheen,Kootenay Lake,168582.609
Armstrong/Spallumcheen,Nelson,169390.658
Armstrong/Spallumcheen,Kimberley,244030.321
Armstrong/Spallumcheen,Cranbrook,267371.56
Armstrong/Spallumcheen,Cranbrook,267371.56
Vernon,Howe Sound,273711.962
Vernon,West Vancouver/Bowen Island,302275.791
Vernon,Vancouver - Westside,304640.168
Vernon,Richmond,306192.824
Vernon,Vancouver - City Centre,300374.462
Vernon,Vancouver - South,300021.311
Vernon,Vancouver - Midtown,299224.461
Vernon,Vancouver - Centre North,297242.189
Vernon,North Vancouver,293309.655
Vernon,Vancouver - Northeast,295932.616
Vernon,Burnaby,291405.52
Vernon,New Westminster,289530.957
Vernon,Surrey,285175.329
Vernon,Tri-Cities,279232.806
Vernon,Maple Ridge/Pitt Meadows,268350.182
Vernon,Delta,297635.128
Vernon,South Surrey/White Rock,290506.703
Vernon,Langley,275244.121
Vernon,Abbotsford,258897.18
Vernon,Chilliwack,231406.949
Vernon,Mission,252128.943
Vernon,Agassiz/Harrison,214311.844
Vernon,Hope,184484.473
Vernon,Merritt,111130.648
Vernon,South Cariboo,156574.407
Vernon,Lillooet,209964.871
Vernon,Cariboo/Chilcotin,293178.326
Vernon,Central Okanagan,44788.4951
Vernon,Armstrong/Spallumcheen,19302.4112
Vernon,Enderby,39741.6032
Vernon,Salmon Arm,54554.0163
Vernon,Kamloops,89672.9673
Vernon,North Thompson,173529.127
Vernon,100 Mile House,210026.84
Vernon,Southern Okanagan,123228.634
Vernon,Grand Forks,146606.325
Vernon,Keremeos,121637.002
Vernon,Princeton,122536.077
Vernon,Trail,170544.944
Vernon,Kettle Valley,105617.762
Vernon,Summerland,79688.5003
Vernon,Penticton,89574.344
Vernon,Castlegar,154337.666
Vernon,Creston,233517.682
Vernon,Revelstoke,110690.964
Vernon,Golden,198833.491
Vernon,Windermere,229218.485
Vernon,Arrow Lakes,107600.97
Vernon,Kootenay Lake,165047.515
Vernon,Nelson,160103.115
Vernon,Kimberley,240532.692
Vernon,Cranbrook,262932.882
Vernon,Cranbrook,262932.882
Central Okanagan,Howe Sound,255353.515
Central Okanagan,West Vancouver/Bowen Island,275403.208
Central Okanagan,Vancouver - Westside,276454.07
Central Okanagan,Richmond,276727.397
Central Okanagan,Vancouver - City Centre,272349.053
Central Okanagan,Vancouver - South,271129.384
Central Okanagan,Vancouver - Midtown,270758.547
Central Okanagan,Vancouver - Centre North,269073.3
Central Okanagan,North Vancouver,265744.029
Central Okanagan,Vancouver - Northeast,267367.528
Central Okanagan,Burnaby,262485.716
Central Okanagan,New Westminster,259982.436
Central Okanagan,Surrey,254541.324
Central Okanagan,Tri-Cities,250138.876
Central Okanagan,Maple Ridge/Pitt Meadows,237844.239
Central Okanagan,Delta,267070.394
Central Okanagan,South Surrey/White Rock,258504.775
Central Okanagan,Langley,243473.035
Central Okanagan,Abbotsford,225148.042
Central Okanagan,Chilliwack,196985.756
Central Okanagan,Mission,219643.91
Central Okanagan,Agassiz/Harrison,181447.981
Central Okanagan,Hope,151474.273
Central Okanagan,Merritt,96794.3694
Central Okanagan,South Cariboo,156917.376
